fen,score_cp
r1b1kb1r/pp1pqp1p/B6n/2p1p2P/5Qp1/4P3/PPPP1PPR/RNBK2N1 b kq - 2 10,583
r1b1kb1r/pp1p1p1p/B6n/2p1p2P/5Qpq/4P3/PPPP1PPR/RNBK2N1 w kq - 3 11,792
r1b1kb1r/pp1p1p1p/B6n/2p1p2P/4Q1pq/4P3/PPPP1PPR/RNBK2N1 b kq - 4 11,222
r1b1kb1r/pp1p1p1p/B6n/2p1p1qP/4Q1p1/4P3/PPPP1PPR/RNBK2N1 w kq - 5 12,512
r1b1kb1r/pp1p1p1p/B6n/2p1p1qP/4Q1p1/4PN2/PPPP1PPR/RNBK4 b kq - 6 12,-177
r1b1kb1r/pp1p1p1p/B6n/2p1pq1P/4Q1p1/4PN2/PPPP1PPR/RNBK4 w kq - 7 13,525
r1b1kb1r/pp1p1p1p/B6n/2p1pq1P/4Q1p1/2P1PN2/PP1P1PPR/RNBK4 b kq - 0 13,793
r1b1kb1r/pp1p1p1p/B6n/2p1pq1P/4Q3/2P1PNp1/PP1P1PPR/RNBK4 w kq - 0 14,204
r1b1kb1r/pp1p1p1p/B6n/2p1pq1P/5Q2/2P1PNp1/PP1P1PPR/RNBK4 b kq - 1 14,836
r1b2b1r/pp1pkp1p/B6n/2p1pq1P/5Q2/2P1PNp1/PP1P1PPR/RNBK4 w - - 2 15,309
r1b2b1r/pp1pkp1p/B6n/2p1pq1P/5Q2/2P1PNp1/PP1P1PP1/RNBK3R b - - 3 15,640
r1b2bnr/pp1pkp1p/B7/2p1pq1P/5Q2/2P1PNp1/PP1P1PP1/RNBK3R w - - 4 16,1149
r1b2bnr/pp1pkp1p/B7/2p1pq1P/5Q1N/2P1P1p1/PP1P1PP1/RNBK3R b - - 5 16,-24
r1b2bnr/pp2kp1p/B7/2pppq1P/5Q1N/2P1P1p1/PP1P1PP1/RNBK3R w - - 0 17,1078
r1b2bnr/pp2kp1p/B6Q/2pppq1P/7N/2P1P1p1/PP1P1PP1/RNBK3R b - - 1 17,76
r1b2bnr/pp2kp1p/B6Q/2ppp2P/5q1N/2P1P1p1/PP1P1PP1/RNBK3R w - - 2 18,442
r1b2bnr/pp2kp1p/B6Q/2ppp2P/5q1N/1PP1P1p1/P2P1PP1/RNBK3R b - - 0 18,756
r1bk1bnr/pp3p1p/B6Q/2ppp2P/5q1N/1PP1P1p1/P2P1PP1/RNBK3R w - - 1 19,1497
r1bk1bnr/pp3pQp/B7/2ppp2P/5q1N/1PP1P1p1/P2P1PP1/RNBK3R b - - 2 19,-72
r1bk1bnr/pp3pQp/B6q/2ppp2P/7N/1PP1P1p1/P2P1PP1/RNBK3R w - - 3 20,739
r1bk1bnr/pp3pQp/B6q/2ppp2P/2P4N/1P2P1p1/P2P1PP1/RNBK3R b - - 0 20,760
r1bk1bnr/pp4Qp/B6q/2pppp1P/2P4N/1P2P1p1/P2P1PP1/RNBK3R w - - 0 21,697
r1bk1bnr/pp4Qp/B6q/2pppp1P/P1P4N/1P2P1p1/3P1PP1/RNBK3R b - - 0 21,763
r1bk1bnr/pp4Qp/B6q/2p1pp1P/P1Pp3N/1P2P1p1/3P1PP1/RNBK3R w - - 0 22,600
r1bk1bnr/pp4Qp/B6q/2p1pp1P/P1Pp4/1P2PNp1/3P1PP1/RNBK3R b - - 1 22,800
r1bk1bnr/p5Qp/Bp5q/2p1pp1P/P1Pp4/1P2PNp1/3P1PP1/RNBK3R w - - 0 23,883
r1bk1bnr/p5Qp/Bp5q/2p1pp1P/P1Pp4/1P1PPNp1/5PP1/RNBK3R b - - 0 23,655
r1bk1bnr/p5Qp/Bp6/2p1ppqP/P1Pp4/1P1PPNp1/5PP1/RNBK3R w - - 1 24,1639
r1bk1bnr/p5Qp/Bp6/2p1ppqP/PPPp4/3PPNp1/5PP1/RNBK3R b - - 0 24,660
r1bk1bnr/p3q1Qp/Bp6/2p1pp1P/PPPp4/3PPNp1/5PP1/RNBK3R w - - 1 25,849
r1bk1bnr/p3q1Qp/Bp6/2p1pp1P/PPPp4/3PPNp1/5PP1/RNBK1R2 b - - 2 25,593
r2k1bnr/p2bq1Qp/Bp6/2p1pp1P/PPPp4/3PPNp1/5PP1/RNBK1R2 w - - 3 26,859
r2k1bnr/p2bq2p/Bp4Q1/2p1pp1P/PPPp4/3PPNp1/5PP1/RNBK1R2 b - - 4 26,508
r4bnr/p1kbq2p/Bp4Q1/2p1pp1P/PPPp4/3PPNp1/5PP1/RNBK1R2 w - - 5 27,447
r4bnr/p1kbq2p/Bp4Q1/2p1pp1P/PPPp4/3PPNp1/1B3PP1/RN1K1R2 b - - 6 27,533
4rbnr/p1kbq2p/Bp4Q1/2p1pp1P/PPPp4/3PPNp1/1B3PP1/RN1K1R2 w - - 7 28,425
4rbnr/p1kbq2p/Bp3Q2/2p1pp1P/PPPp4/3PPNp1/1B3PP1/RN1K1R2 b - - 8 28,653
2b1rbnr/p1k1q2p/Bp3Q2/2p1pp1P/PPPp4/3PPNp1/1B3PP1/RN1K1R2 w - - 9 29,657
2b1rbnr/p1k1q2p/Bp3Q2/2p1pp1P/PPPp4/3PPNp1/1B2KPP1/RN3R2 b - - 10 29,615
2b1r1nr/p1k1q1bp/Bp3Q2/2p1pp1P/PPPp4/3PPNp1/1B2KPP1/RN3R2 w - - 11 30,325
2b1r1nr/p1k1q1bp/Bp3Q2/2p1pp1P/PPPp4/2NPPNp1/1B2KPP1/R4R2 b - - 12 30,592
1kb1r1nr/p3q1bp/Bp3Q2/2p1pp1P/PPPp4/2NPPNp1/1B2KPP1/R4R2 w - - 13 31,248
1kb1r1nr/p3q1bp/Bp3Q2/2p1pp1P/PPPp4/2NPPNp1/1B2KPP1/R6R b - - 14 31,722
1k2r1nr/p2bq1bp/Bp3Q2/2p1pp1P/PPPp4/2NPPNp1/1B2KPP1/R6R w - - 15 32,303
1k2r1nr/p2bq1bp/Bp3Q1P/2p1pp2/PPPp4/2NPPNp1/1B2KPP1/R6R b - - 0 32,512
1k2r1nr/p2b2bp/Bp2qQ1P/2p1pp2/PPPp4/2NPPNp1/1B2KPP1/R6R w - - 1 33,1078
1k2r1nr/p2b2bp/Bp2qQ1P/2p1pp2/PPPp4/B1NPPNp1/4KPP1/R6R b - - 2 33,625
1k2r1nr/p2b2bp/Bp1q1Q1P/2p1pp2/PPPp4/B1NPPNp1/4KPP1/R6R w - - 3 34,2218
1k2r1nr/p2b2bp/Bp1q1Q1P/2p1pp2/PPPp4/B1NPP1p1/3NKPP1/R6R b - - 4 34,540
1k2r1nr/p2b2bp/Bp1q1Q1P/2p2p2/PPPpp3/B1NPP1p1/3NKPP1/R6R w - - 0 35,1918
1k2r1nr/p2b2bp/Bp1q1Q1P/2p2p2/PPPpp3/2NPP1p1/3NKPP1/R1B4R b - - 1 35,607
1kr3nr/p2b2bp/Bp1q1Q1P/2p2p2/PPPpp3/2NPP1p1/3NKPP1/R1B4R w - - 2 36,2073
1kr3nr/p2bQ1bp/Bp1q3P/2p2p2/PPPpp3/2NPP1p1/3NKPP1/R1B4R b - - 3 36,310
1kr3nr/p2bQ1bp/Bp5P/2p1qp2/PPPpp3/2NPP1p1/3NKPP1/R1B4R w - - 4 37,1158
1kr3nr/p2bQ1bp/Bp5P/2p1qp2/PPPpp3/2NPP1p1/4KPP1/RNB4R b - - 5 37,297
1kr3nr/p2bQ1bp/Bp5P/2p1q3/PPPppp2/2NPP1p1/4KPP1/RNB4R w - - 0 38,939
1kr2Qnr/p2b2bp/Bp5P/2p1q3/PPPppp2/2NPP1p1/4KPP1/RNB4R b - - 1 38,462
k1r2Qnr/p2b2bp/Bp5P/2p1q3/PPPppp2/2NPP1p1/4KPP1/RNB4R w - - 2 39,915
k1r2Qnr/p2b2bp/Bp5P/2p1q3/PPPppp2/2NPP1p1/3NKPP1/R1B4R b - - 3 39,462
k1r2Qnr/p5bp/Bp5P/1bp1q3/PPPppp2/2NPP1p1/3NKPP1/R1B4R w - - 4 40,900004
k1r2Qnr/p5bp/Bp5P/1bp1q3/PPPppp2/2NPP1p1/3N1PP1/R1B2K1R b - - 5 40,332
rnb1kb1r/1ppp1p2/p5pp/P3p1q1/8/2P1QP2/1P1nK1PP/RNB2BNR w kq - 0 13,60
rnb1kb1r/1ppp1p2/p5pp/P3p1q1/8/N1P1QP2/1P1nK1PP/R1B2BNR b kq - 1 13,510
rnb1kb1r/1ppp1p2/p5pp/P3p1q1/4n3/N1P1QP2/1P2K1PP/R1B2BNR w kq - 2 14,40
rnb1kb1r/1ppp1p2/p5pp/P3p1q1/4n3/N1P2P2/1P1QK1PP/R1B2BNR b kq - 3 14,875
rnb1kb1r/1ppp1p2/p5pp/P1n1p1q1/8/N1P2P2/1P1QK1PP/R1B2BNR w kq - 4 15,-225
rnb1kb1r/1ppp1p2/p5pp/P1n1p1q1/8/N1P2P2/1P2K1PP/R1BQ1BNR b kq - 5 15,325
r1b1kb1r/1ppp1p2/p1n3pp/P1n1p1q1/8/N1P2P2/1P2K1PP/R1BQ1BNR w kq - 6 16,235
r1b1kb1r/1ppp1p2/p1n3pp/P1n1p1q1/8/N1P2P1N/1P2K1PP/R1BQ1B1R b kq - 7 16,365
r1bk1b1r/1ppp1p2/p1n3pp/P1n1p1q1/8/N1P2P1N/1P2K1PP/R1BQ1B1R w - - 8 17,400
r1bk1b1r/1ppp1p2/p1n3pp/P1n1p1q1/8/N1P2PPN/1P2K2P/R1BQ1B1R b - - 0 17,348
r1bk1b1r/1ppp1p2/p5pp/P1n1p1q1/1n6/N1P2PPN/1P2K2P/R1BQ1B1R w - - 1 18,605
r1bk1b1r/1ppp1p2/p2Q2pp/P1n1p1q1/1n6/N1P2PPN/1P2K2P/R1B2B1R b - - 2 18,395
r1bk1b1r/1ppp1p2/p2Q2pp/P1n1p1q1/8/N1Pn1PPN/1P2K2P/R1B2B1R w - - 3 19,655
r1bk1b1r/1ppp1p2/pQ4pp/P1n1p1q1/8/N1Pn1PPN/1P2K2P/R1B2B1R b - - 4 19,990
r1bk1b1r/1ppp1p2/pQ4p1/P1n1p1qp/8/N1Pn1PPN/1P2K2P/R1B2B1R w - - 0 20,645
r1bk1b1r/1ppp1p2/pQ4p1/P1n1p1qp/2N5/2Pn1PPN/1P2K2P/R1B2B1R b - - 1 20,600
